Имя / Название,Telegram Username,Очки активности,Описание (Bio),Что рекламируют (Контекст),Где размещаются (Каналы),Кол-во рекламы в базе,Пример последнего поста
Александр,@Beogradski_majstor,1.2,Не заполнено,Heuristic Match: услуги пишите заказ,Активен в 1 каналах,1,"Здравствуйте! Я — Александр, мастер бытовых услуг в Белграде с 15-летним опытом. 

🛠️ Мои услуги вкл..."
Саша Добрынин,@elvin_dobrobro,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Сумка/рюкзак adidas Multigame (padel)

• Состояние: новая, с биркой  
• Цена: **4500** RSD  

Оригин..."
,@serbska_baraholka,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,[**Подставка под монитор VATTENKAR**](https://www.ikea.com/rs/sr/p/vattenkar-postolje-za-laptop-moni...
garyilena,@garyilena,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"1. LEGO Harry Potter Quidditch 

Набор LEGO по Гарри Поттеру — квиддич с минифигурками и игровым пол..."
Kseniya Skurikhina,@KseniyaSkurikhina,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Манечка ищет дом ❤️

Манечке около 2,5-3 лет. 
- Стерилизована 
- Обработана от паразитов
- Здорова ..."
otdamprodampampam,@otdamprodampampam,1.2,Не заполнено,Heuristic Match: цена пишите,Активен в 1 каналах,1,"📦 Товар:  
Детские часы MOYE K8, есть дополнительный ремешок

📝 Описание:  
Удобные часы, с камерой,..."
Ольга,@Timicheva2000,1.2,Не заполнено,Heuristic Match: услуги цена viber,Активен в 1 каналах,1,"**✨ Всем привет! Меня зовут Ольга ✨**
**Я мастер по пирсингу с большим опытом 💉**

🔥 **Делаю качеств..."
veshirasproda,@veshirasproda,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Пиджаки размер 44, цена по 700 рсд 

Блузки 42-44 по 500 рсд

Самовывоз Белград, Земун 
Больше вещей..."
portotip,@portotip,1.2,Не заполнено,Heuristic Match: продам цена,Активен в 1 каналах,1,"Продам, hyper fury DDR4 2x-8gb

Блок 72 
Цена: 9.ооо RSD 
@portotip..."
Pavel,@AllconstructionBelgrade,1.2,Не заполнено,Heuristic Match: услуги пишите,Активен в 1 каналах,1,"#ремонт #строители 

Добрый день мы качественно оказываем различные строительные услуги:
- лакокрасо..."
Николя,@Nicolas290796,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,Бан получите и распишитесь. Собака тут не при чем. @Nicolas290796...
,@CleanHouseRS,1.2,Не заполнено,Heuristic Match: стоимость заказ,Активен в 1 каналах,1,"📣 [Clean House](https://t.me/CleanHouseRS)** **дарит чистоту вам и вашим друзьям!**
**
Приводите дру..."
evgeni,@foomur,1.2,Не заполнено,Heuristic Match: ищу,Активен в 1 каналах,1,"Добрый день! Ищу квартиру для аренды в Нови Саде для меня, моей жены и кошки шотландской породы. В н..."
Aleksej II,@Necary,1.2,Не заполнено,Heuristic Match: цена пишите заказ,Активен в 1 каналах,1,"Возим технику из Венгрии — собираем ПК под любые задачи!

✅ Подбор и сборка домашнего, офисного или ..."
Dima Satinaev,@dma_sero,1.2,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"**Кабель Ugreen XLR to 3.5mm aux**
Длина 2м
Новый, не использовал. Ошибся при заказе (нужен был mini..."
vasilii4547,@vasilii4547,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Всем привет! 👋
Мы — команда специалистов по нанесению декоративной штукатурки с опытом работы более ..."
Анастасия,@Prianushka,1.2,Не заполнено,Heuristic Match: предлагаю пишите директ,Активен в 1 каналах,1,"Предлагаю вкусные и красивые пряники к Пасхе! 🐰
Штучные яйца с ""мещанской росписью"" 450динар
Наборы ..."
Thomas Breffish,@breffish,1.2,Не заполнено,Heuristic Match: продам цена в лс,Активен в 1 каналах,1,"Продам MacBook Pro 14 M4 Pro 2024 года.
Считай новый, после покупки кроме как сериалов не использова..."
Николай,@nkl6898,1.2,Не заполнено,Heuristic Match: продам цена,Активен в 1 каналах,1,"**Продам iPhone 14 PRO**

256 gb – SIM + SIM
Идеальное состояние, не вскрывался, всегда был в чехле ..."
gum_sale,@gum_sale,1.2,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"Свитер серо-коричневый шерсть-кашемир 1200
В идеальном состоянии, очень теплый и приятный
Размер уни..."
novakucaa,@novakucaa,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Комбинезон bagly boo, в идеальном состоянии, размер 98 

Цена: 1000 рсд
📍Забирать: Палилулска пиjаца..."
Ann_PsyCoach,@Ann_PsyCoach,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,@Ann_PsyCoach получите бан и распишитесь....
garaz_sale,@garaz_sale,1.2,Не заполнено,Heuristic Match: продам стоимость пишите,Активен в 1 каналах,1,"**Продам коляску**

Идеальная коляска для путешествий и города.
Собирается легко и быстро и помещает..."
